what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444150591171
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444150595689
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444150653559
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1444150653587
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1444150653587
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444150656985
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444150672733
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444150711121
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444150724743
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444150732303
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444150784729
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444150784955
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444150788736
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444150834124
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1444150834146
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1444150834146
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444150838161
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444150875616
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444150878837
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444150975081
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1444150975114
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1444150975114
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444150977608
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444151011225
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1444151016438
